dog_id,trick_id,proficiency_level,last_practiced
73,5,Needs More Treats,2024-04-18
98,16,Needs More Treats,2024-12-30
75,15,So-So,2024-03-22
58,20,So-So,2024-04-21
88,1,Needs More Treats,2024-09-21
73,3,Tail-wagging Good,2024-12-03
83,1,So-So,2024-05-20
82,9,Paw-some,2024-08-25
80,7,So-So,2025-02-13
42,5,So-So,2024-10-14
81,18,So-So,2024-05-30
41,20,Fetching Fantastic,2023-12-24
20,17,Paw-some,2023-09-12
57,14,Needs More Treats,2023-10-16
9,4,Tail-wagging Good,2024-02-11
61,10,Tail-wagging Good,2023-05-29
57,8,Needs More Treats,2025-01-14
81,10,Fetching Fantastic,2024-08-12
39,4,Tail-wagging Good,2024-03-03
36,2,So-So,2024-10-20
76,8,Tail-wagging Good,2024-03-09
8,14,Paw-some,2023-12-22
46,20,Paw-some,2023-07-11
65,15,Needs More Treats,2024-06-16
10,3,Fetching Fantastic,2023-07-04
40,4,Fetching Fantastic,2023-10-29
60,16,Tail-wagging Good,2025-03-23
58,20,Fetching Fantastic,2024-05-03
5,18,Fetching Fantastic,2023-10-03
8,1,Tail-wagging Good,2023-11-02
48,17,Paw-some,2024-07-01
37,19,So-So,2023-08-24
10,8,Needs More Treats,2023-08-09
83,5,Paw-some,2024-07-18
12,10,Fetching Fantastic,2023-09-20
79,14,Fetching Fantastic,2025-03-15
77,1,Tail-wagging Good,2024-10-12
